                acpid |      default                           
             bootmisc | boot                                   
              chronyd |      default                           
                crond |      default                           
                 dbus |      default                           
                devfs |                                 sysinit
                dmesg |                                 sysinit
              elogind | boot                                   
             hostname | boot                                   
              hwclock | boot                                   
                  iwd |      default                           
            killprocs |                        shutdown        
             loadkmap | boot                                   
              modules | boot                                   
             mount-ro |                        shutdown        
       networkmanager |      default                           
               polkit |      default                           
            savecache |                        shutdown        
              seedrng | boot                                   
                 sshd |      default                           
                 swap | boot                                   
               sysctl | boot                                   
               syslog | boot                                   
                 udev |                                 sysinit
       udev-postmount |      default                           
         udev-trigger |                                 sysinit
                  ufw |      default                           
